[ 1920년-2100년 24기 입기 시각 ]
--------------------------------------------------------------------------------------------------------------------------------------------
역법과 연계된 24기 데이터의 특수성 때문에, 반올림 결과 날짜가 바뀌는 경우 날짜 변동 없이 24시 0분으로 표기됩니다. 
이 자료는 최신의 이론, 모델, 상수를 사용하여 계산된 것입니다. 하지만 지구 자전 속도는 예측할 수 없기 때문에, 미래로 갈수록 수 초에서 수분까지 달라질 수 있습니다. 이로 인해 미래의 실제 24기 날짜는 지금 계산과 다를 수 있습니다.

아래 모든 시각 데이터는 현재(2026년 9월 1일) KST(=UTC+9h) 기준이며, 과거 표준자오선 변경이나 써머타임은 고려하지 않음.
--------------------------------------------------------------------------------------------------------------------------------------------

<24기 구분>
 1: 입춘,  2: 우수,  3: 경칩,  4: 춘분,  5: 청명,  6: 곡우
 7, 1980,  5,  5, 17, 44
 8, 1980,  5, 21,  6, 42
 9, 1980,  6,  5, 22,  4
10, 1980,  6, 21, 14, 47
11, 1980,  7,  7,  8, 24
12, 1980,  7, 23,  1, 42
13, 1980,  8,  7, 18,  9
14, 1980,  8, 23,  8, 41
15, 1980,  9,  7, 20, 53
16, 1980,  9, 23,  6,  9
17, 1980, 10,  8, 12, 19
18, 1980, 10, 23, 15, 18
19, 1980, 11,  7, 15, 18
20, 1980, 11, 22, 12, 41
21, 1980, 12,  7,  8,  1
22, 1980, 12, 22,  1, 56
23, 1981,  1,  5, 19, 13
24, 1981,  1, 20, 12, 36
 1, 1981,  2,  4,  6, 55
 2, 1981,  2, 19,  2, 52
 3, 1981,  3,  6,  1,  5
 4, 1981,  3, 21,  2,  3
 5, 1981,  4,  5,  6,  5
 6, 1981,  4, 20, 13, 19
 7, 1981,  5,  5, 23, 35
 8, 1981,  5, 21, 12, 39
 9, 1981,  6,  6,  3, 53
10, 1981,  6, 21, 20, 45
11, 1981,  7,  7, 14, 12
12, 1981,  7, 23,  7, 40
13, 1981,  8,  7, 23, 57
14, 1981,  8, 23, 14, 38
15, 1981,  9,  8,  2, 43
16, 1981,  9, 23, 12,  5
17, 1981, 10,  8, 18, 10
18, 1981, 10, 23, 21, 13
19, 1981, 11,  7, 21,  9
20, 1981, 11, 22, 18, 36
21, 1981, 12,  7, 13, 51
22, 1981, 12, 22,  7, 51
23, 1982,  1,  6,  1,  3
24, 1982,  1, 20, 18, 31
 1, 1982,  2,  4, 12, 45
 2, 1982,  2, 19,  8, 47
 3, 1982,  3,  6,  6, 55
 4, 1982,  3, 21,  7, 56
 5, 1982,  4,  5, 11, 53
 6, 1982,  4, 20, 19,  7
 7, 1982,  5,  6,  5, 20
 8, 1982,  5, 21, 18, 23
 9, 1982,  6,  6,  9, 36
10, 1982,  6, 22,  2, 23
11, 1982,  7,  7, 19, 55
12, 1982,  7, 23, 13, 15
13, 1982,  8,  8,  5, 42
14, 1982,  8, 23, 20, 15
15, 1982,  9,  8,  8, 32
16, 1982,  9, 23, 17, 46
17, 1982, 10,  9,  0,  2
18, 1982, 10, 24,  2, 58
19, 1982, 11,  8,  3,  4
20, 1982, 11, 23,  0, 23
21, 1982, 12,  7, 19, 48
22, 1982, 12, 22, 13, 38
23, 1983,  1,  6,  6, 59
24, 1983,  1, 21,  0, 17
 1, 1983,  2,  4, 18, 40
 2, 1983,  2, 19, 14, 31
 3, 1983,  3,  6, 12, 47
 4, 1983,  3, 21, 13, 39
 5, 1983,  4,  5, 17, 44
 6, 1983,  4, 21,  0, 50
 7, 1983,  5,  6, 11, 11
 8, 1983,  5, 22,  0,  6
 9, 1983,  6,  6, 15, 26
10, 1983,  6, 22,  8,  9
11, 1983,  7,  8,  1, 43
12, 1983,  7, 23, 19,  4
13, 1983,  8,  8, 11, 30
14, 1983,  8, 24,  2,  7
15, 1983,  9,  8, 14, 20
16, 1983,  9, 23, 23, 42
17, 1983, 10,  9,  5, 51
18, 1983, 10, 24,  8, 54
19, 1983, 11,  8,  8, 52
20, 1983, 11, 23,  6, 18
21, 1983, 12,  8,  1, 34
22, 1983, 12, 22, 19, 30
23, 1984,  1,  6, 12, 41
24, 1984,  1, 21,  6,  5
 1, 1984,  2,  5,  0, 19
 2, 1984,  2, 19, 20, 16
 3, 1984,  3,  5, 18, 25
 4, 1984,  3, 20, 19, 24
 5, 1984,  4,  4, 23, 22
 6, 1984,  4, 20,  6, 38
 7, 1984,  5,  5, 16, 51
 8, 1984,  5, 21,  5, 58
 9, 1984,  6,  5, 21,  9
10, 1984,  6, 21, 14,  2
11, 1984,  7,  7,  7, 29
12, 1984,  7, 23,  0, 58
13, 1984,  8,  7, 17, 18
14, 1984,  8, 23,  8,  0
15, 1984,  9,  7, 20, 10
16, 1984,  9, 23,  5, 33
17, 1984, 10,  8, 11, 43
18, 1984, 10, 23, 14, 46
19, 1984, 11,  7, 14, 46
20, 1984, 11, 22, 12, 11
21, 1984, 12,  7,  7, 28
22, 1984, 12, 22,  1, 23
23, 1985,  1,  5, 18, 35
24, 1985,  1, 20, 11, 58
 1, 1985,  2,  4,  6, 12
 2, 1985,  2, 19,  2,  7
 3, 1985,  3,  6,  0, 16
 4, 1985,  3, 21,  1, 14
 5, 1985,  4,  5,  5, 14
 6, 1985,  4, 20, 12, 26
 7, 1985,  5,  5, 22, 43
 8, 1985,  5, 21, 11, 43
 9, 1985,  6,  6,  3,  0
10, 1985,  6, 21, 19, 44
11, 1985,  7,  7, 13, 19
12, 1985,  7, 23,  6, 36
13, 1985,  8,  7, 23,  4
14, 1985,  8, 23, 13, 36
15, 1985,  9,  8,  1, 53
16, 1985,  9, 23, 11,  7
17, 1985, 10,  8, 17, 25
18, 1985, 10, 23, 20, 22
19, 1985, 11,  7, 20, 29
20, 1985, 11, 22, 17, 51
21, 1985, 12,  7, 13, 16
22, 1985, 12, 22,  7,  8
23, 1986,  1,  6,  0, 28
24, 1986,  1, 20, 17, 46
 1, 1986,  2,  4, 12,  8
 2, 1986,  2, 19,  7, 58
 3, 1986,  3,  6,  6, 12
 4, 1986,  3, 21,  7,  3
 5, 1986,  4,  5, 11,  6
 6, 1986,  4, 20, 18, 12
 7, 1986,  5,  6,  4, 31
 8, 1986,  5, 21, 17, 28
 9, 1986,  6,  6,  8, 44
10, 1986,  6, 22,  1, 30
11, 1986,  7,  7, 19,  1
12, 1986,  7, 23, 12, 24
13, 1986,  8,  8,  4, 46
14, 1986,  8, 23, 19, 26
15, 1986,  9,  8,  7, 35
16, 1986,  9, 23, 16, 59
17, 1986, 10,  8, 23,  7
18, 1986, 10, 24,  2, 14
19, 1986, 11,  8,  2, 13
20, 1986, 11, 22, 23, 44
21, 1986, 12,  7, 19,  1
22, 1986, 12, 22, 13,  2
23, 1987,  1,  6,  6, 13
24, 1987,  1, 20, 23, 40
 1, 1987,  2,  4, 17, 52
 2, 1987,  2, 19, 13, 50
 3, 1987,  3,  6, 11, 54
 4, 1987,  3, 21, 12, 52
 5, 1987,  4,  5, 16, 44
 6, 1987,  4, 20, 23, 58
 7, 1987,  5,  6, 10,  6
 8, 1987,  5, 21, 23, 10
 9, 1987,  6,  6, 14, 19
10, 1987,  6, 22,  7, 11
11, 1987,  7,  8,  0, 39
12, 1987,  7, 23, 18,  6
13, 1987,  8,  8, 10, 29
14, 1987,  8, 24,  1, 10
15, 1987,  9,  8, 13, 24
16, 1987,  9, 23, 22, 45
17, 1987, 10,  9,  5,  0
18, 1987, 10, 24,  8,  1
19, 1987, 11,  8,  8,  6
20, 1987, 11, 23,  5, 29
21, 1987, 12,  8,  0, 52
22, 1987, 12, 22, 18, 46
23, 1988,  1,  6, 12,  4
24, 1988,  1, 21,  5, 24
 1, 1988,  2,  4, 23, 43
 2, 1988,  2, 19, 19, 35
 3, 1988,  3,  5, 17, 47
 4, 1988,  3, 20, 18, 39
 5, 1988,  4,  4, 22, 39
 6, 1988,  4, 20,  5, 45
 7, 1988,  5,  5, 16,  2
 8, 1988,  5, 21,  4, 57
 9, 1988,  6,  5, 20, 15
10, 1988,  6, 21, 12, 57
11, 1988,  7,  7,  6, 33
12, 1988,  7, 22, 23, 51
13, 1988,  8,  7, 16, 20
14, 1988,  8, 23,  6, 54
15, 1988,  9,  7, 19, 12
16, 1988,  9, 23,  4, 29
17, 1988, 10,  8, 10, 44
18, 1988, 10, 23, 13, 44
19, 1988, 11,  7, 13, 49
20, 1988, 11, 22, 11, 12
21, 1988, 12,  7,  6, 34
22, 1988, 12, 22,  0, 28
23, 1989,  1,  5, 17, 46
24, 1989,  1, 20, 11,  7
 1, 1989,  2,  4,  5, 27
 2, 1989,  2, 19,  1, 21
 3, 1989,  3,  5, 23, 34
 4, 1989,  3, 21,  0, 28
 5, 1989,  4,  5,  4, 30
 6, 1989,  4, 20, 11, 39
 7, 1989,  5,  5, 21, 54
 8, 1989,  5, 21, 10, 54
 9, 1989,  6,  6,  2,  5
10, 1989,  6, 21, 18, 53
11, 1989,  7,  7, 12, 19
12, 1989,  7, 23,  5, 45
13, 1989,  8,  7, 22,  4
14, 1989,  8, 23, 12, 46
15, 1989,  9,  8,  0, 54
16, 1989,  9, 23, 10, 20
17, 1989, 10,  8, 16, 27
18, 1989, 10, 23, 19, 35
19, 1989, 11,  7, 19, 34
20, 1989, 11, 22, 17,  5
21, 1989, 12,  7, 12, 21
22, 1989, 12, 22,  6, 22
23, 1990,  1,  5, 23, 33
24, 1990,  1, 20, 17,  2
 1, 1990,  2,  4, 11, 14
 2, 1990,  2, 19,  7, 14
 3, 1990,  3,  6,  5, 19
 4, 1990,  3, 21,  6, 19
 5, 1990,  4,  5, 10, 13
 6, 1990,  4, 20, 17, 27
 7, 1990,  5,  6,  3, 35
 8, 1990,  5, 21, 16, 37
 9, 1990,  6,  6,  7, 46
10, 1990,  6, 22,  0, 33
11, 1990,  7,  7, 18,  0
12, 1990,  7, 23, 11, 22
13, 1990,  8,  8,  3, 46
14, 1990,  8, 23, 18, 21
15, 1990,  9,  8,  6, 37
16, 1990,  9, 23, 15, 56
17, 1990, 10,  8, 22, 14
18, 1990, 10, 24,  1, 14
19, 1990, 11,  8,  1, 23
20, 1990, 11, 22, 22, 47
21, 1990, 12,  7, 18, 14
22, 1990, 12, 22, 12,  7
23, 1991,  1,  6,  5, 28
24, 1991,  1, 20, 22, 47
 1, 1991,  2,  4, 17,  8
 2, 1991,  2, 19, 12, 58
 3, 1991,  3,  6, 11, 12
 4, 1991,  3, 21, 12,  2
 5, 1991,  4,  5, 16,  5
 6, 1991,  4, 20, 23,  8
 7, 1991,  5,  6,  9, 27
 8, 1991,  5, 21, 22, 20
 9, 1991,  6,  6, 13, 38
10, 1991,  6, 22,  6, 19
11, 1991,  7,  7, 23, 53
12, 1991,  7, 23, 17, 11
13, 1991,  8,  8,  9, 37
14, 1991,  8, 24,  0, 13
15, 1991,  9,  8, 12, 27
16, 1991,  9, 23, 21, 48
17, 1991, 10,  9,  4,  1
18, 1991, 10, 24,  7,  5
19, 1991, 11,  8,  7,  8
20, 1991, 11, 23,  4, 36
21, 1991, 12,  7, 23, 56
22, 1991, 12, 22, 17, 54
23, 1992,  1,  6, 11,  9
24, 1992,  1, 21,  4, 32
 1, 1992,  2,  4, 22, 48
 2, 1992,  2, 19, 18, 43
 3, 1992,  3,  5, 16, 52
 4, 1992,  3, 20, 17, 48
 5, 1992,  4,  4, 21, 45
 6, 1992,  4, 20,  4, 57
 7, 1992,  5,  5, 15,  9
 8, 1992,  5, 21,  4, 12
 9, 1992,  6,  5, 19, 22
10, 1992,  6, 21, 12, 14
11, 1992,  7,  7,  5, 40
12, 1992,  7, 22, 23,  9
13, 1992,  8,  7, 15, 27
14, 1992,  8, 23,  6, 10
15, 1992,  9,  7, 18, 18
16, 1992,  9, 23,  3, 43
17, 1992, 10,  8,  9, 51
18, 1992, 10, 23, 12, 57
19, 1992, 11,  7, 12, 57
20, 1992, 11, 22, 10, 26
21, 1992, 12,  7,  5, 44
22, 1992, 12, 21, 23, 43
23, 1993,  1,  5, 16, 57
24, 1993,  1, 20, 10, 23
 1, 1993,  2,  4,  4, 37
 2, 1993,  2, 19,  0, 35
 3, 1993,  3,  5, 22, 43
 4, 1993,  3, 20, 23, 41
 5, 1993,  4,  5,  3, 37
 6, 1993,  4, 20, 10, 49
 7, 1993,  5,  5, 21,  2
 8, 1993,  5, 21, 10,  2
 9, 1993,  6,  6,  1, 15
10, 1993,  6, 21, 18,  0
11, 1993,  7,  7, 11, 32
12, 1993,  7, 23,  4, 51
13, 1993,  8,  7, 21, 18
14, 1993,  8, 23, 11, 50
15, 1993,  9,  8,  0,  8
16, 1993,  9, 23,  9, 22
17, 1993, 10,  8, 15, 40
18, 1993, 10, 23, 18, 37
19, 1993, 11,  7, 18, 46
20, 1993, 11, 22, 16,  7
21, 1993, 12,  7, 11, 34
22, 1993, 12, 22,  5, 26
23, 1994,  1,  5, 22, 48
24, 1994,  1, 20, 16,  7
 1, 1994,  2,  4, 10, 31
 2, 1994,  2, 19,  6, 22
 3, 1994,  3,  6,  4, 38
 4, 1994,  3, 21,  5, 28
 5, 1994,  4,  5,  9, 32
 6, 1994,  4, 20, 16, 36
 7, 1994,  5,  6,  2, 54
 8, 1994,  5, 21, 15, 48
 9, 1994,  6,  6,  7,  5
10, 1994,  6, 21, 23, 48
11, 1994,  7,  7, 17, 19
12, 1994,  7, 23, 10, 41
13, 1994,  8,  8,  3,  4
14, 1994,  8, 23, 17, 44
15, 1994,  9,  8,  5, 55
16, 1994,  9, 23, 15, 19
17, 1994, 10,  8, 21, 29
18, 1994, 10, 24,  0, 36
19, 1994, 11,  8,  0, 36
20, 1994, 11, 22, 22,  6
21, 1994, 12,  7, 17, 23
22, 1994, 12, 22, 11, 23
23, 1995,  1,  6,  4, 34
24, 1995,  1, 20, 22,  0
 1, 1995,  2,  4, 16, 13
 2, 1995,  2, 19, 12, 11
 3, 1995,  3,  6, 10, 16
 4, 1995,  3, 21, 11, 14
 5, 1995,  4,  5, 15,  8
 6, 1995,  4, 20, 22, 21
 7, 1995,  5,  6,  8, 30
 8, 1995,  5, 21, 21, 34
 9, 1995,  6,  6, 12, 42
10, 1995,  6, 22,  5, 34
11, 1995,  7,  7, 23,  1
12, 1995,  7, 23, 16, 30
13, 1995,  8,  8,  8, 52
14, 1995,  8, 23, 23, 35
15, 1995,  9,  8, 11, 49
16, 1995,  9, 23, 21, 13
17, 1995, 10,  9,  3, 27
18, 1995, 10, 24,  6, 32
19, 1995, 11,  8,  6, 36
20, 1995, 11, 23,  4,  1
21, 1995, 12,  7, 23, 22
22, 1995, 12, 22, 17, 17
23, 1996,  1,  6, 10, 31
24, 1996,  1, 21,  3, 53
 1, 1996,  2,  4, 22,  8
 2, 1996,  2, 19, 18,  1
 3, 1996,  3,  5, 16, 10
 4, 1996,  3, 20, 17,  3
 5, 1996,  4,  4, 21,  2
 6, 1996,  4, 20,  4, 10
 7, 1996,  5,  5, 14, 26
 8, 1996,  5, 21,  3, 23
 9, 1996,  6,  5, 18, 41
10, 1996,  6, 21, 11, 24
11, 1996,  7,  7,  5,  0
12, 1996,  7, 22, 22, 19
13, 1996,  8,  7, 14, 49
14, 1996,  8, 23,  5, 23
15, 1996,  9,  7, 17, 42
16, 1996,  9, 23,  3,  0
17, 1996, 10,  8,  9, 19
18, 1996, 10, 23, 12, 19
19, 1996, 11,  7, 12, 27
20, 1996, 11, 22,  9, 49
21, 1996, 12,  7,  5, 14
22, 1996, 12, 21, 23,  6
23, 1997,  1,  5, 16, 24
24, 1997,  1, 20,  9, 43
 1, 1997,  2,  4,  4,  2
 2, 1997,  2, 18, 23, 51
 3, 1997,  3,  5, 22,  4
 4, 1997,  3, 20, 22, 55
 5, 1997,  4,  5,  2, 56
 6, 1997,  4, 20, 10,  3
 7, 1997,  5,  5, 20, 19
 8, 1997,  5, 21,  9, 18
 9, 1997,  6,  6,  0, 33
10, 1997,  6, 21, 17, 20
11, 1997,  7,  7, 10, 49
12, 1997,  7, 23,  4, 15
13, 1997,  8,  7, 20, 36
14, 1997,  8, 23, 11, 19
15, 1997,  9,  7, 23, 29
16, 1997,  9, 23,  8, 56
17, 1997, 10,  8, 15,  5
18, 1997, 10, 23, 18, 15
19, 1997, 11,  7, 18, 15
20, 1997, 11, 22, 15, 48
21, 1997, 12,  7, 11,  5
22, 1997, 12, 22,  5,  7
23, 1998,  1,  5, 22, 18
24, 1998,  1, 20, 15, 46
 1, 1998,  2,  4,  9, 57
 2, 1998,  2, 19,  5, 55
 3, 1998,  3,  6,  3, 57
 4, 1998,  3, 21,  4, 55
 5, 1998,  4,  5,  8, 45
 6, 1998,  4, 20, 15, 57
 7, 1998,  5,  6,  2,  3
 8, 1998,  5, 21, 15,  5
 9, 1998,  6,  6,  6, 13
10, 1998,  6, 21, 23,  3
11, 1998,  7,  7, 16, 30
12, 1998,  7, 23,  9, 55
13, 1998,  8,  8,  2, 20
14, 1998,  8, 23, 16, 59
15, 1998,  9,  8,  5, 16
16, 1998,  9, 23, 14, 37
17, 1998, 10,  8, 20, 56
18, 1998, 10, 23, 23, 59
19, 1998, 11,  8,  0,  8
20, 1998, 11, 22, 21, 34
21, 1998, 12,  7, 17,  2
22, 1998, 12, 22, 10, 56
23, 1999,  1,  6,  4, 17
24, 1999,  1, 20, 21, 37
 1, 1999,  2,  4, 15, 57
 2, 1999,  2, 19, 11, 47
 3, 1999,  3,  6,  9, 58
 4, 1999,  3, 21, 10, 46
 5, 1999,  4,  5, 14, 45
 6, 1999,  4, 20, 21, 46
 7, 1999,  5,  6,  8,  1
 8, 1999,  5, 21, 20, 52
 9, 1999,  6,  6, 12,  9
10, 1999,  6, 22,  4, 49
11, 1999,  7,  7, 22, 25
12, 1999,  7, 23, 15, 44
13, 1999,  8,  8,  8, 14
14, 1999,  8, 23, 22, 51
15, 1999,  9,  8, 11, 10
16, 1999,  9, 23, 20, 32
17, 1999, 10,  9,  2, 48
18, 1999, 10, 24,  5, 52
19, 1999, 11,  8,  5, 58
20, 1999, 11, 23,  3, 25
21, 1999, 12,  7, 22, 47
22, 1999, 12, 22, 16, 44
23, 2000,  1,  6, 10,  1
24, 2000,  1, 21,  3, 23
 1, 2000,  2,  4, 21, 40
 2, 2000,  2, 19, 17, 33
 3, 2000,  3,  5, 15, 43
 4, 2000,  3, 20, 16, 35
 5, 2000,  4,  4, 20, 32
 6, 2000,  4, 20,  3, 40
 7, 2000,  5,  5, 13, 50
 8, 2000,  5, 21,  2, 49
 9, 2000,  6,  5, 17, 59
10, 2000,  6, 21, 10, 48
11, 2000,  7,  7,  4, 14
12, 2000,  7, 22, 21, 43
13, 2000,  8,  7, 14,  3
14, 2000,  8, 23,  4, 49
15, 2000,  9,  7, 16, 59
16, 2000,  9, 23,  2, 28
17, 2000, 10,  8,  8, 38
18, 2000, 10, 23, 11, 47
19, 2000, 11,  7, 11, 48
20, 2000, 11, 22,  9, 19
21, 2000, 12,  7,  4, 37
22, 2000, 12, 21, 22, 37
23, 2001,  1,  5, 15, 49
24, 2001,  1, 20,  9, 16
 1, 2001,  2,  4,  3, 29
 2, 2001,  2, 18, 23, 27
 3, 2001,  3,  5, 21, 33
 4, 2001,  3, 20, 22, 31
 5, 2001,  4,  5,  2, 24
 6, 2001,  4, 20,  9, 36
 7, 2001,  5,  5, 19, 45
 8, 2001,  5, 21,  8, 44
 9, 2001,  6,  5, 23, 54
10, 2001,  6, 21, 16, 38
11, 2001,  7,  7, 10,  7
12, 2001,  7, 23,  3, 26
13, 2001,  8,  7, 19, 52
14, 2001,  8, 23, 10, 27
15, 2001,  9,  7, 22, 46
16, 2001,  9, 23,  8,  4
17, 2001, 10,  8, 14, 25
18, 2001, 10, 23, 17, 26
19, 2001, 11,  7, 17, 37
20, 2001, 11, 22, 15,  0
21, 2001, 12,  7, 10, 29
22, 2001, 12, 22,  4, 21
23, 2002,  1,  5, 21, 44
24, 2002,  1, 20, 15,  2
 1, 2002,  2,  4,  9, 24
 2, 2002,  2, 19,  5, 13
 3, 2002,  3,  6,  3, 28
 4, 2002,  3, 21,  4, 16
 5, 2002,  4,  5,  8, 18
 6, 2002,  4, 20, 15, 20
 7, 2002,  5,  6,  1, 37
 8, 2002,  5, 21, 14, 29
 9, 2002,  6,  6,  5, 45
10, 2002,  6, 21, 22, 24
11, 2002,  7,  7, 15, 56
12, 2002,  7, 23,  9, 15
13, 2002,  8,  8,  1, 39
14, 2002,  8, 23, 16, 17
15, 2002,  9,  8,  4, 31
16, 2002,  9, 23, 13, 55
17, 2002, 10,  8, 20,  9
18, 2002, 10, 23, 23, 18
19, 2002, 11,  7, 23, 22
20, 2002, 11, 22, 20, 54
21, 2002, 12,  7, 16, 14
22, 2002, 12, 22, 10, 14
23, 2003,  1,  6,  3, 28
24, 2003,  1, 20, 20, 53
 1, 2003,  2,  4, 15,  5
 2, 2003,  2, 19, 11,  0
 3, 2003,  3,  6,  9,  5
 4, 2003,  3, 21, 10,  0
 5, 2003,  4,  5, 13, 52
 6, 2003,  4, 20, 21,  3
 7, 2003,  5,  6,  7, 10
 8, 2003,  5, 21, 20, 12
 9, 2003,  6,  6, 11, 20
10, 2003,  6, 22,  4, 10
11, 2003,  7,  7, 21, 36
12, 2003,  7, 23, 15,  4
13, 2003,  8,  8,  7, 24
14, 2003,  8, 23, 22,  8
15, 2003,  9,  8, 10, 20
16, 2003,  9, 23, 19, 47
17, 2003, 10,  9,  2,  1
18, 2003, 10, 24,  5,  8
19, 2003, 11,  8,  5, 13
20, 2003, 11, 23,  2, 43
21, 2003, 12,  7, 22,  5
22, 2003, 12, 22, 16,  4
23, 2004,  1,  6,  9, 19
24, 2004,  1, 21,  2, 42
 1, 2004,  2,  4, 20, 56
 2, 2004,  2, 19, 16, 50
 3, 2004,  3,  5, 14, 56
 4, 2004,  3, 20, 15, 49
 5, 2004,  4,  4, 19, 43
 6, 2004,  4, 20,  2, 50
 7, 2004,  5,  5, 13,  2
 8, 2004,  5, 21,  1, 59
 9, 2004,  6,  5, 17, 14
10, 2004,  6, 21,  9, 57
11, 2004,  7,  7,  3, 31
12, 2004,  7, 22, 20, 50
13, 2004,  8,  7, 13, 20
14, 2004,  8, 23,  3, 53
15, 2004,  9,  7, 16, 13
16, 2004,  9, 23,  1, 30
17, 2004, 10,  8,  7, 49
18, 2004, 10, 23, 10, 49
19, 2004, 11,  7, 10, 59
20, 2004, 11, 22,  8, 22
21, 2004, 12,  7,  3, 49
22, 2004, 12, 21, 21, 42
23, 2005,  1,  5, 15,  3
24, 2005,  1, 20,  8, 22
 1, 2005,  2,  4,  2, 43
 2, 2005,  2, 18, 22, 32
 3, 2005,  3,  5, 20, 45
 4, 2005,  3, 20, 21, 33
 5, 2005,  4,  5,  1, 34
 6, 2005,  4, 20,  8, 37
 7, 2005,  5,  5, 18, 53
 8, 2005,  5, 21,  7, 47
 9, 2005,  6,  5, 23,  2
10, 2005,  6, 21, 15, 46
11, 2005,  7,  7,  9, 17
12, 2005,  7, 23,  2, 41
13, 2005,  8,  7, 19,  3
14, 2005,  8, 23,  9, 45
15, 2005,  9,  7, 21, 57
16, 2005,  9, 23,  7, 23
17, 2005, 10,  8, 13, 33
18, 2005, 10, 23, 16, 42
19, 2005, 11,  7, 16, 42
20, 2005, 11, 22, 14, 15
21, 2005, 12,  7,  9, 33
22, 2005, 12, 22,  3, 35
23, 2006,  1,  5, 20, 47
24, 2006,  1, 20, 14, 15
 1, 2006,  2,  4,  8, 27
 2, 2006,  2, 19,  4, 26
 3, 2006,  3,  6,  2, 29
 4, 2006,  3, 21,  3, 26
 5, 2006,  4,  5,  7, 15
 6, 2006,  4, 20, 14, 26
 7, 2006,  5,  6,  0, 31
 8, 2006,  5, 21, 13, 32
 9, 2006,  6,  6,  4, 37
10, 2006,  6, 21, 21, 26
11, 2006,  7,  7, 14, 51
12, 2006,  7, 23,  8, 18
13, 2006,  8,  8,  0, 41
14, 2006,  8, 23, 15, 23
15, 2006,  9,  8,  3, 39
16, 2006,  9, 23, 13,  3
17, 2006, 10,  8, 19, 21
18, 2006, 10, 23, 22, 26
19, 2006, 11,  7, 22, 35
20, 2006, 11, 22, 20,  2
21, 2006, 12,  7, 15, 27
22, 2006, 12, 22,  9, 22
23, 2007,  1,  6,  2, 40
24, 2007,  1, 20, 20,  1
 1, 2007,  2,  4, 14, 18
 2, 2007,  2, 19, 10,  9
 3, 2007,  3,  6,  8, 18
 4, 2007,  3, 21,  9,  7
 5, 2007,  4,  5, 13,  5
 6, 2007,  4, 20, 20,  7
 7, 2007,  5,  6,  6, 20
 8, 2007,  5, 21, 19, 12
 9, 2007,  6,  6, 10, 27
10, 2007,  6, 22,  3,  6
11, 2007,  7,  7, 20, 42
12, 2007,  7, 23, 14,  0
13, 2007,  8,  8,  6, 31
14, 2007,  8, 23, 21,  8
15, 2007,  9,  8,  9, 29
16, 2007,  9, 23, 18, 51
17, 2007, 10,  9,  1, 12
18, 2007, 10, 24,  4, 15
19, 2007, 11,  8,  4, 24
20, 2007, 11, 23,  1, 50
21, 2007, 12,  7, 21, 14
22, 2007, 12, 22, 15,  8
23, 2008,  1,  6,  8, 25
24, 2008,  1, 21,  1, 44
 1, 2008,  2,  4, 20,  0
 2, 2008,  2, 19, 15, 50
 3, 2008,  3,  5, 13, 59
 4, 2008,  3, 20, 14, 48
 5, 2008,  4,  4, 18, 46
 6, 2008,  4, 20,  1, 51
 7, 2008,  5,  5, 12,  3
 8, 2008,  5, 21,  1,  1
 9, 2008,  6,  5, 16, 12
10, 2008,  6, 21,  8, 59
11, 2008,  7,  7,  2, 27
12, 2008,  7, 22, 19, 55
13, 2008,  8,  7, 12, 16
14, 2008,  8, 23,  3,  2
15, 2008,  9,  7, 15, 14
16, 2008,  9, 23,  0, 44
17, 2008, 10,  8,  6, 57
18, 2008, 10, 23, 10,  9
19, 2008, 11,  7, 10, 11
20, 2008, 11, 22,  7, 44
21, 2008, 12,  7,  3,  2
22, 2008, 12, 21, 21,  4
23, 2009,  1,  5, 14, 14
24, 2009,  1, 20,  7, 40
 1, 2009,  2,  4,  1, 50
 2, 2009,  2, 18, 21, 46
 3, 2009,  3,  5, 19, 48
 4, 2009,  3, 20, 20, 44
 5, 2009,  4,  5,  0, 34
 6, 2009,  4, 20,  7, 44
 7, 2009,  5,  5, 17, 51
 8, 2009,  5, 21,  6, 51
 9, 2009,  6,  5, 21, 59
10, 2009,  6, 21, 14, 46
11, 2009,  7,  7,  8, 14
12, 2009,  7, 23,  1, 36
13, 2009,  8,  7, 18,  1
14, 2009,  8, 23,  8, 39
15, 2009,  9,  7, 20, 58
16, 2009,  9, 23,  6, 19
17, 2009, 10,  8, 12, 40
18, 2009, 10, 23, 15, 43
19, 2009, 11,  7, 15, 56
20, 2009, 11, 22, 13, 23
21, 2009, 12,  7,  8, 52
22, 2009, 12, 22,  2, 47
23, 2010,  1,  5, 20,  9
24, 2010,  1, 20, 13, 28
 1, 2010,  2,  4,  7, 48
 2, 2010,  2, 19,  3, 36
 3, 2010,  3,  6,  1, 46
 4, 2010,  3, 21,  2, 32
 5, 2010,  4,  5,  6, 30
 6, 2010,  4, 20, 13, 30
 7, 2010,  5,  5, 23, 44
 8, 2010,  5, 21, 12, 34
 9, 2010,  6,  6,  3, 49
10, 2010,  6, 21, 20, 28
11, 2010,  7,  7, 14,  2
12, 2010,  7, 23,  7, 21
13, 2010,  8,  7, 23, 49
14, 2010,  8, 23, 14, 27
15, 2010,  9,  8,  2, 45
16, 2010,  9, 23, 12,  9
17, 2010, 10,  8, 18, 26
18, 2010, 10, 23, 21, 35
19, 2010, 11,  7, 21, 43
20, 2010, 11, 22, 19, 15
21, 2010, 12,  7, 14, 38
22, 2010, 12, 22,  8, 38
23, 2011,  1,  6,  1, 55
24, 2011,  1, 20, 19, 19
 1, 2011,  2,  4, 13, 33
